kill,abilityPower,armor,attackDamage,attackSpeed,healthMax,lifesteal,magicResist,movementSpeed,powerMax,y
-11,26,-347,-326,-170,-1557,-6,-93,-220,-2918,0
-12,49,-374,-318,-64,-1623,-6,-93,-30,-2952,0
-15,368,-457,-283,-107,-1773,-6,-133,-251,-3019,0
-16,270,-382,-307,-16,-2078,-6,-95,-155,-2972,0
0,0,10,0,0,77,0,-5,15,-147,1
0,-9,4,-6,16,57,0,3,-393,93,1
0,-6,4,14,91,57,0,4,-23,84,1
1,-6,2,26,137,63,0,5,181,206,1
0,13,4,-2,121,144,0,30,292,373,1
0,13,-4,14,38,-26,0,26,7,717,1
2,-47,-2,19,70,82,-1,29,15,753,1
1,-30,-3,16,48,115,-2,29,5,967,1
1,-17,-7,-16,114,-176,-1,28,-148,1106,1
2,-9,3,23,106,117,-1,31,-16,1597,1
2,-20,-5,29,49,-21,-2,30,-98,1621,1
-1,-20,-11,-52,102,22,-3,27,-156,1673,1
-1,-82,3,-43,65,228,-2,28,25,1504,1
0,-89,23,-41,82,299,-3,60,-253,1604,1
1,-18,-8,-62,59,384,-2,36,202,1994,1
4,-23,-10,-114,139,807,-1,42,-319,2483,1
5,-71,-22,10,26,635,-2,39,-190,2784,1
8,-47,-8,25,55,936,-2,43,372,2997,2
6,-80,-11,22,-16,1010,5,42,125,3135,2
6,-73,1,63,79,892,4,43,-63,3316,2
6,-138,4,36,-70,1023,4,43,510,3359,2
8,-165,-5,58,91,1129,4,45,-274,3254,2
10,-152,15,86,110,1506,4,51,-301,3487,2
11,-26,30,74,49,1400,2,77,-309,3514,2
14,17,82,237,81,1536,2,80,-143,3599,2
14,228,52,188,158,1319,2,56,204,3493,2
13,411,122,276,52,1562,3,107,34,3574,2
18,512,195,261,66,2161,3,160,274,3760,2
21,427,190,220,64,1848,2,157,124,3767,2
0,0,12,0,0,18,0,7,0,-415,1
0,-57,11,30,-25,8,0,20,-3,-415,1
0,-58,11,30,-1,15,0,20,27,-468,1
-1,-60,12,30,-3,-14,0,22,132,-534,1
-1,-62,10,8,196,-47,0,22,281,-526,1
2,-82,23,-20,-10,496,-7,25,239,-475,1
2,-34,15,-48,10,185,-7,23,42,-785,1
3,-60,49,-22,66,27,-7,48,51,-843,1
4,-17,61,-13,27,104,-7,77,-256,-853,1
4,-20,67,-25,7,198,-7,105,-18,-913,2
4,-71,67,3,41,112,0,106,62,-977,1
6,-70,96,-9,34,342,0,107,-189,-963,2
6,-81,82,13,-6,301,1,109,-52,-993,2
4,-93,82,0,68,306,1,114,128,-1062,2
5,-105,78,-21,156,91,1,110,-132,-1082,1
8,-93,85,-5,98,615,1,116,-46,-1101,2
9,-47,104,22,44,1164,8,121,-132,-1046,2
8,-26,96,9,5,799,8,120,16,-1380,2
8,-46,89,-3,26,691,8,120,-278,-1464,2
8,-35,72,-22,-12,734,8,123,271,-1477,2
8,69,78,-31,12,1096,8,126,254,-1489,2
9,53,81,-51,-10,1862,8,130,-116,-1497,2
11,66,87,-67,40,2002,8,130,71,-1491,2
13,66,162,-52,-1,1938,8,133,243,-1311,2
13,45,149,-82,14,2078,8,128,381,-1426,2
13,66,161,-34,31,2466,8,139,751,-1526,2
17,47,170,-95,95,2874,8,142,212,-1497,2
16,29,203,-103,17,2814,8,142,77,-1467,2
17,-12,296,-101,-64,2866,8,141,292,-1565,2
19,455,388,-17,219,2913,1,170,627,-1530,2
22,171,313,-72,61,3480,1,149,379,-1444,2
0,0,-3,0,0,45,0,-2,15,529,1
0,27,9,-15,-19,15,0,-10,361,289,1
0,27,25,-14,-31,20,0,-10,15,265,1
0,27,11,-14,-73,-130,0,-13,19,241,1
1,29,9,-8,-23,28,0,-10,15,41,1
0,0,0,0,0,-10,0,0,0,173,1
0,-8,-12,-18,18,110,0,8,18,173,1
0,-8,-12,-14,29,120,0,8,4,209,1
0,-8,-15,-5,20,40,0,6,222,7,1
-2,-8,2,-9,185,96,0,7,213,2,1
1,-8,10,7,17,56,7,9,-51,0,1
1,-8,3,67,14,-100,21,6,-76,-98,1
0,-8,8,64,9,-13,22,7,-85,-94,1
3,-28,16,85,217,-299,38,12,-28,-26,1
4,-28,21,86,-1,-566,23,11,34,-22,1
4,-66,27,99,-4,-763,16,6,62,-138,1
3,-70,53,80,13,-771,16,9,-261,-113,1
3,-113,35,20,97,-764,16,35,20,-127,1
2,-89,16,78,52,-1315,16,22,198,-233,1
1,-142,20,74,-65,-1265,16,23,-121,-214,1
-1,-159,31,29,22,-1360,16,22,76,-241,1
-4,-161,42,19,4,-1608,17,22,33,-340,1
-4,-182,37,18,24,-1497,10,26,154,-240,1
-7,-199,17,30,0,-2092,10,17,98,-403,1
-8,-256,12,-12,-30,-2088,10,18,1,-651,1
-10,-269,13,0,-33,-2200,10,23,-6,-680,1
-14,-269,-20,-23,-17,-2445,10,12,368,-823,1
-14,-271,-27,-121,66,-2161,32,18,-161,-740,1
-14,-271,-18,-124,76,-2495,17,35,-22,-615,1
-18,-407,-51,-238,-44,-2883,17,16,-289,-859,0
-21,-335,-66,-139,-93,-3199,18,7,-59,-985,0
0,0,11,0,0,-228,0,2,-10,-180,1
0,-27,11,2,24,-68,0,10,-10,-415,1
0,-27,11,1,5,-92,0,10,-10,-403,1
0,-27,4,10,33,-340,0,8,-9,-570,1
0,-27,8,21,20,-235,7,21,-30,-608,1
-1,-47,-2,3,96,-751,7,7,57,-866,1
2,-67,16,-11,68,-373,7,16,78,-1172,1
2,-87,8,-7,126,-626,7,13,39,-1300,1
1,-87,14,-13,149,-546,7,41,16,-1351,1
1,-109,36,-11,121,-1106,6,12,293,-1551,1
1,-89,39,-19,133,-1071,6,14,-9,-1613,1
3,-129,21,33,126,-1041,6,-3,-33,-1662,1
3,-129,3,27,208,-1145,6,-3,-212,-1703,1
3,-127,-14,15,164,-1116,6,-15,-32,-1695,1
4,-131,-1,30,148,-1406,12,-7,-6,-1805,1
6,-178,-47,23,334,-1348,12,-13,160,-2296,1
6,-198,-37,15,274,-1600,12,-17,155,-2478,1
6,-200,-28,53,247,-1306,11,12,-87,-2358,1
8,-217,-34,73,269,-1434,11,35,19,-2408,1
7,-219,-65,82,258,-1216,11,27,47,-2724,1
8,-219,-37,108,147,-980,11,63,-214,-2769,1
9,-245,56,330,248,-1100,10,101,121,-2736,1
10,-245,-87,95,221,-1129,9,22,-81,-3034,1
7,-251,-79,78,168,-1580,8,29,218,-3135,1
7,-415,-101,-19,163,-2244,8,-13,-258,-3191,1
7,-411,-101,44,168,-2449,8,-14,-119,-3189,1
8,-437,-174,36,304,-2816,8,7,-116,-3133,1
8,-366,-174,72,227,-3078,8,3,-43,-3242,1
4,-366,-198,103,173,-3447,8,-2,12,-3324,1
4,-393,-306,92,137,-3571,8,-25,-59,-3652,1
2,-407,-363,105,135,-3941,8,-27,-34,-3743,1
-2,-407,-371,119,155,-4168,8,-31,-82,-3826,1
-2,-407,-371,131,155,-4168,8,-31,175,-3826,1
0,0,-10,0,0,-37,0,6,10,232,1
0,-26,-4,-16,0,-145,0,6,5,477,1
0,-26,-7,-29,-2,-223,0,5,21,489,1
0,-26,-4,-35,1,-168,0,8,107,670,1
-1,-28,-7,-35,-28,-271,0,7,35,809,1
-3,-28,-2,-33,-28,-197,0,8,-10,890,1
-3,-28,13,-17,-25,-48,0,9,4,989,1
-1,-28,14,-53,-12,-265,0,9,-76,1161,1
-2,-47,20,-66,10,-461,0,9,5,1232,1
-2,-81,20,-84,2,-386,0,10,-111,957,1
-3,-75,16,-150,-3,-287,0,9,33,1035,1
-4,-92,22,-118,18,-569,0,32,5,1010,1
-6,-129,31,-158,18,-391,0,34,40,1194,1
-6,-129,49,-150,67,-724,7,47,-22,1164,1
-4,-152,34,-135,-10,-526,14,49,109,1205,1
-5,-150,116,-217,-5,-231,15,64,-149,1367,1
-2,-155,110,-182,50,364,15,57,-205,1087,1
-1,-135,130,-205,131,485,15,68,-42,1467,1
3,-169,120,-163,26,514,15,52,-248,1568,2
1,-173,202,-132,21,340,15,49,174,1768,2
0,-295,248,-186,11,179,15,95,171,1796,2
4,-256,269,-289,84,506,15,102,-397,1976,2
3,-193,263,-213,5,822,15,105,119,2197,2
5,-193,316,-245,-2,1058,8,107,166,2301,2
6,-275,475,-191,78,856,8,181,62,2485,2
7,-296,299,-189,-10,1242,8,67,86,2562,2
4,-251,289,-197,19,1103,8,64,53,2507,2
5,-346,348,-262,-16,896,8,99,97,2509,2
3,-374,357,-203,-30,477,7,98,268,2584,2
2,-374,300,-256,66,404,7,133,57,2574,2
1,-384,328,-175,5,231,7,70,-98,2596,2
-2,-338,388,-192,-34,386,14,130,-93,2596,2
-2,-394,329,-257,-39,141,14,127,301,2666,2
-4,-394,316,-188,-38,138,14,60,-453,2670,2
-4,-374,302,-204,-56,-65,14,46,-376,2633,2
-4,-428,327,-233,-105,8,32,125,-168,2745,2
-1,-449,430,-237,-42,460,25,135,102,2926,2
0,0,9,0,0,-171,0,2,5,-1071,1
0,-51,15,46,-5,-96,0,10,-349,-1066,1
0,-51,15,45,-40,-105,0,10,8,-1127,1
1,-51,18,55,-30,38,-15,13,8,-1193,1
1,-51,38,65,-15,365,0,21,8,-1139,1
0,0,9,0,0,-45,0,0,-15,-312,1
0,33,21,-19,-25,-85,9,-8,-13,-312,1
-1,33,21,-19,-115,-89,9,-8,-18,-286,1
-1,37,14,-13,-24,-239,9,-11,-43,-349,1
0,44,35,-28,-10,-101,9,5,-366,-117,1
-2,75,19,-51,-76,-2,9,-12,215,-105,1
-2,20,27,-58,-81,513,8,-9,-131,18,1
-2,63,12,-64,-108,143,8,-16,-64,-31,1
-2,67,20,-69,-188,315,1,-14,-14,59,1
-2,67,-19,-31,-181,5,0,-38,-9,209,0
-2,112,-1,-40,-99,393,0,-31,0,486,1
-4,97,1,-99,-165,-139,0,-40,-170,365,0
-4,57,9,-94,-140,-11,5,-65,-80,497,0
-4,99,14,-106,-223,86,5,-128,-84,516,0
-4,154,-10,-135,-248,-236,5,-69,-234,558,0
-5,184,-9,-187,-247,-306,4,-96,-71,633,0
-6,145,-15,-150,-214,-111,4,-93,-60,757,0
-9,177,-26,-163,-220,-398,3,-96,-60,692,0
-10,209,-76,-191,-234,-749,3,-142,-43,711,0
-11,219,-133,-288,-218,-876,2,-180,175,766,0
-12,219,-127,-282,-264,-910,2,-186,-159,747,0
-13,136,-144,-280,-221,-1427,1,-190,10,834,0
-15,136,-119,-335,-289,-1593,1,-198,-155,1117,0
-22,136,-125,-340,-290,-1906,1,-199,55,1091,0
0,0,11,0,0,-64,0,7,25,-909,1
0,25,5,-44,13,-36,0,-1,23,-909,1
0,25,5,-19,13,-50,0,-1,63,-890,1
0,26,9,-21,34,61,0,2,13,-997,1
1,26,6,-22,13,21,0,1,58,-1106,1
0,46,3,-23,-1,-48,7,0,-42,-1125,1
-1,-11,8,5,-45,67,14,1,-54,-1375,1
0,6,24,17,4,183,15,3,96,-1443,1
0,4,21,37,-22,86,15,2,-102,-1609,1
-1,16,21,55,0,142,15,2,-186,-1758,1
-1,2,25,56,22,138,15,3,142,-1769,1
0,57,30,25,-180,485,8,5,235,-1822,1
0,57,27,13,-4,581,8,5,-52,-1989,1
1,61,36,24,4,768,8,9,61,-2287,1
3,102,38,20,6,796,9,8,113,-2437,1
3,166,68,55,8,923,9,28,86,-2504,2
5,166,100,45,77,1024,10,33,132,-2460,2
6,63,107,33,-31,1171,11,34,380,-2534,2
7,121,109,4,14,1090,11,35,75,-2932,2
6,195,131,23,11,1440,11,35,-59,-3177,2
7,165,140,31,-44,1466,11,35,128,-3221,2
11,286,156,162,49,1764,11,38,32,-3150,2
12,112,166,92,-97,2146,11,44,-153,-3123,2
11,526,187,71,7,2209,10,38,414,-3318,2
11,741,194,189,9,2411,10,40,101,-3338,2
10,640,199,106,12,2514,10,42,-57,-3290,2
0,0,26,0,0,25,0,4,40,18,1
0,-38,26,16,20,115,0,12,-310,-7,1
0,-53,26,12,28,42,0,12,-21,-29,1
0,-53,23,20,28,31,0,13,-15,-32,1
0,-53,25,18,72,33,0,13,-10,-237,1
0,-73,22,24,85,-52,0,11,45,-486,1
-2,-113,36,53,16,-311,15,9,70,-551,1
-4,-98,51,36,33,-282,0,10,40,-578,1
-4,-168,49,36,50,-150,0,8,-133,-720,1
-5,-158,39,45,90,-485,0,3,80,-765,1
-4,-150,47,41,-26,-324,23,7,-87,-689,1
-6,-165,64,60,2,-247,8,36,435,-688,1
-6,-159,60,68,85,-361,2,33,78,-947,1
-6,-229,109,51,7,-431,32,43,15,-927,1
-6,-235,124,87,-23,-384,9,41,45,-925,1
-4,-235,129,88,-35,-526,11,40,-225,-932,1
-6,-235,134,82,11,-744,26,43,10,-820,1
-6,-328,129,120,13,-826,5,72,-78,-857,1
-4,-418,140,142,28,-618,6,104,330,-777,1
-4,-463,152,160,24,-787,6,104,34,-540,1
-8,-487,157,152,-27,-1283,6,101,167,-608,1
-7,-499,140,154,32,-1332,-1,107,-7,-576,1
-4,-603,249,159,-13,-1062,-1,171,-77,-597,1
-5,-619,240,169,-72,-1304,-1,169,136,-608,1
-5,-634,236,265,93,-734,-1,126,-360,-453,1
-2,-626,230,376,18,-337,-1,119,-25,-281,1
-1,-682,239,370,-25,-210,-1,122,-37,-170,1
-1,-676,249,427,11,-311,-1,137,0,-213,1
0,-875,249,379,-11,146,-2,134,-258,-98,2
-1,-825,257,386,-109,131,-2,143,36,-90,2
-5,-901,205,371,-97,-402,-2,115,32,-269,1
0,0,14,0,0,76,0,2,-25,121,1
0,6,2,29,7,226,0,18,-391,-129,1
0,6,5,31,8,297,0,19,-30,-108,1
0,6,5,38,55,239,0,21,-70,-100,1
1,6,2,60,7,254,0,21,-260,-342,1
2,26,5,52,44,189,0,23,-10,228,1
2,-14,26,131,100,215,-14,25,110,205,1
2,-16,17,153,145,-407,1,24,71,208,1
4,-16,2,152,120,-529,1,-3,134,332,1
4,-11,-7,159,21,-474,1,-5,-175,586,1
6,-16,-16,160,38,-344,1,0,45,701,1
8,-13,-23,187,32,-92,2,2,-642,555,1
9,-15,-43,222,21,-191,3,-4,54,552,1
6,20,-23,248,36,-35,3,3,110,861,1
6,25,-48,242,-31,-77,-12,3,-184,901,1
7,-46,-70,221,14,-547,3,-29,86,868,1
7,6,-68,253,-28,-595,3,-30,86,984,1
8,-8,-68,287,-38,-684,3,0,91,1010,1
10,1,-78,329,3,-408,3,-10,-145,1248,1
10,26,-76,324,-17,-559,-4,-8,-155,1321,1
7,62,-149,282,14,-1028,-4,5,-206,1209,1
6,24,-184,281,-11,-791,-4,8,110,1294,1
5,-128,-294,269,-42,-1430,-3,-12,-143,1176,1
6,-113,-299,279,5,-951,-3,37,-295,967,1
7,-91,-345,322,47,-1066,-3,24,41,918,1
3,-44,-450,406,-21,-1413,-3,-20,134,694,1
3,-24,-527,355,-50,-1469,-3,-13,49,520,1
3,-32,-529,359,-37,-1338,-18,-16,260,520,1
0,-125,-543,399,-41,-1913,-10,-20,99,445,1
0,-125,-651,339,-43,-2987,5,2,-27,362,0
0,-169,-667,390,-51,-2743,-1,-13,-15,342,0
-1,-127,-696,402,-9,-2943,-1,-15,230,592,0
-3,-127,-851,516,17,-3161,-1,-48,-26,533,0
0,0,-6,0,0,74,0,0,-52,-272,1
0,24,0,-8,-13,-1,-9,0,-33,-20,1
0,24,0,-9,-14,-5,-9,0,-38,-26,1
0,27,2,-6,-19,2,-9,-2,-30,170,1
1,30,4,-3,-20,80,-9,-1,-116,298,1
1,61,-4,-5,17,8,-9,-2,32,323,1
0,11,10,18,-63,-84,-9,-4,-210,538,1
0,15,13,-5,-76,-188,-10,-3,-85,637,1
-1,57,73,-19,-72,-30,-15,37,58,712,1
0,68,12,-60,-132,317,-15,-6,-39,771,1
0,85,12,-103,-74,718,-22,-5,52,829,1
-1,132,9,-104,-132,430,-22,-8,20,808,0
-2,133,13,-81,-82,653,-22,18,-280,851,0
-3,130,-2,-102,-90,420,-22,-2,-384,827,0
-3,88,26,-112,-123,701,-23,7,-131,913,0
0,94,116,-91,-97,1168,-23,83,-326,1115,2
0,111,65,-125,-256,1165,-23,12,-57,1366,2
-1,115,104,-101,-275,1726,-23,26,-267,1329,2
